Grupo;Campo;O que precisamos saber;O que já sabemos (medido na base);BANHO — resposta;TOSA — resposta
Identidade;nome_cliente;Como o agente deve chamar este serviço na conversa com o cliente;Banho / Tosa;;
Identidade;sinonimos;"Outras formas como o cliente pede este serviço (separe por ;)";"ex.: banho; banhinho; dar um banho";;
Identidade;ativo;Este serviço está ativo hoje? (sim/não);;;
Agendamento;agendavel_pelo_agente;O agente pode marcar sozinho? (agenda / só registra pedido / não, transfere);;;
Agendamento;duracao_minutos;Quanto tempo ocupa o profissional;MEDIDO: banho e tosa — mediana 75 min, mais comum 60 min;;
Agendamento;duracao_varia_por;A duração muda conforme o quê? (porte, pelagem, espécie, nada);;;
Agendamento;recursos_habilitados;Quem pode executar;HOJE: Marcele Carvalho, Patrícia Colfera, Kaio Silva da Costa;;
Agendamento;horario_do_recurso;Faixa de horário em que esses profissionais atendem;MEDIDO: 10h às 17h;;
Agendamento;janela_permitida;Há limite dentro desse horário? (ex.: banho só até certa hora para dar tempo de secar);;;
Agendamento;dias_permitidos;Em quais dias da semana acontece;;;
Agendamento;antecedencia_minima;Com quanta antecedência mínima o cliente pode marcar (ex.: 2 horas);;;
Agendamento;antecedencia_maxima;Até quanto tempo à frente pode marcar (ex.: 60 dias);;;
Agendamento;permite_encaixe;O agente pode marcar além do limite do profissional? (sim/não);HOJE: 2,2% dos horários da agenda têm mais de um atendimento;;
Pré-requisitos;exige_vacinacao_em_dia;Exige vacinação em dia? (sim/não) Quais vacinas?;Temos o dado no sistema e conseguimos verificar;;
Pré-requisitos;restricao_especie;Atende quais espécies;HOJE: preço separado para Cães e Gatos;;
Pré-requisitos;restricao_porte;Há porte que não é atendido;;;
Pré-requisitos;restricao_idade;Há restrição de idade (filhote, idoso);;;
Pré-requisitos;exige_pedido_medico;Exige pedido ou encaminhamento? (sim/não);;;
Pré-requisitos;exige_avaliacao_previa;Exige avaliação presencial antes de marcar? (sim/não);;;
Preço;modo_preco;Como o valor é definido (valor fechado / tabela por variação / depende de orçamento);;;
Preço;dimensoes_preco;O que faz o valor mudar (espécie, porte, pelagem, plano, horário);HOJE: Banho — Cães R$ 120,00 / Gatos R$ 240,00. Tosa (carding) — porte x pelagem, R$ 46,00 a R$ 85,00;;
Preço;agente_pode_informar;O agente pode dizer o valor ao cliente? (sim/não);;;
Preço;ressalva_preco;Texto que deve acompanhar o valor, se houver;ex.: valor sujeito a confirmação no local;;
Preço;preco_plano_black_pet;Cliente do plano Black Pet tem valor diferente? O agente informa qual?;HOJE: itens Black Pet estão cadastrados a R$ 1,00;;
Preparo;instrucoes_pre;O que o cliente precisa saber antes de vir;ex.: trazer carteira de vacinação;;
Preparo;o_que_trazer;O que o cliente deve trazer;;;
Preparo;duracao_percebida;O que dizer ao cliente sobre quanto tempo leva;;;
Lembrete;lembrete_horas_antes;Com quantas horas de antecedência lembrar (pode ser mais de um);;;
Lembrete;pede_confirmacao;O lembrete deve pedir confirmação? (sim/não);HOJE: só 2,5% dos agendamentos chegam a ser confirmados;;
Lembrete;permite_remarcar;O cliente pode remarcar pelo agente? Até quantas horas antes?;;;
Lembrete;permite_cancelar;O cliente pode cancelar pelo agente? Até quantas horas antes?;;;
Lembrete;politica_no_show;O que fazer quando o cliente não aparece;HOJE: 12,4% dos agendamentos ficam como Atrasado;;
Combinações;aceita_transporte;Aceita Leva e Traz junto? (sim/não);HOJE: 53% dos dias com transporte tinham banho e tosa;;
Combinações;servicos_combinaveis;O que pode ser marcado junto, no mesmo dia;"ex.: banho + tosa; banho + vacina?";;
Combinações;ordem_na_combinacao;Há ordem obrigatória entre eles;;;
Exceções;quando_transferir;Em que situações o agente deve parar e passar para uma pessoa;ex.: desembolo (o nível depende de ver o animal), animal agressivo;;
Exceções;setor_destino;Para qual setor do RD Station deve transferir;;;
